항목	매장명	위치	가격	운영시간	비고
"서핑
(슈트렌탈 1만)"	아키아서핑스쿨	서귀포(남동)	6만	9~22	답변 안 옴
	서프앤조이	제주시(북쪽)	4만	7~23:30	촬영, 보드+수트 3만
	제주도서핑범서프	제주시(북쪽)	4만	9~21	촬영, 보드+수트 3만
	월정서프서프	제주시(북동)	5만	9~23	촬영
	월정퀵서프	제주시(북동)	5만	9:30~19	촬영
	월정서핑랑서프	제주시(북동)	5만	9~19	고프로 촬영
해녀체험	다이브센터	서귀포(남동)	5만9천	8~20	
	제주해녀체험	서귀포(남동)	5만9천	9~18	
	제주크리스탈다이브센터	서귀포(남서)	7만	24시	전용보트이동, 수트 1만
	해녀스쿨	제주시(북서)	6만	10~17	
승마	목장카페 드르쿰다	서귀포(동쪽)	1.5~3.8만	9~18	
	삼다수승마목장	제주시(동쪽)	1.2~5만	9:30~16:45	선착순운행
	졸띠해변승마	서귀포(동쪽 끝)	1~7만	9~17:30	유채꽃길/해변길
	송당승마장	제주시(동쪽)	2.5~6.5	9~17	ATV 사륜 체험 가능
	뷰 제주하늘	서귀포(동쪽)	0.9~3.9	9~17	ATV 사륜 체험 가능
	광치기 해변승마	서귀포(동쪽)	1~3만	10~17:30	유채밭/올래길/해변
	제주오름승마랜드	제주시(북동)	1.8~5.4	9~17	목장/초원/오름숲
